         1031173 function calls (1012260 primitive calls) in 4.191 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001    4.192    4.192 /caefs/user/mmingyeong/structura/Structura/src/example/density_kde_seq_chunks/03_visualize_kde_hdf5_snapshot99.py:137(main)
        1    0.001    0.001    4.190    4.190 /caefs/user/mmingyeong/structura/Structura/src/example/density_kde_seq_chunks/03_visualize_kde_hdf5_snapshot99.py:27(visualize_with_visualizer)
        1    0.000    0.000    1.580    1.580 /caefs/user/mmingyeong/structura/Structura/src/visualization.py:330(create_image_plot)
        1    1.531    1.531    1.531    1.531 /home/users/mmingyeong/.conda/envs/new_env/lib/python3.10/site-packages/h5py/_hl/dataset.py:786(__getitem__)
        2    0.000    0.000    1.469    0.735 /caefs/user/mmingyeong/structura/Structura/src/visualization.py:290(_save_figure_by_format)
        2    0.000    0.000    1.469    0.735 /home/users/mmingyeong/.local/lib/python3.10/site-packages/matplotlib/figure.py:3234(savefig)
        2    0.000    0.000    1.469    0.735 /home/users/mmingyeong/.local/lib/python3.10/site-packages/matplotlib/backend_bases.py:2052(print_figure)
        1    0.001    0.001    1.052    1.052 /caefs/user/mmingyeong/structura/Structura/src/visualization.py:99(compute_2d_histogram)
        4    0.000    0.000    0.751    0.188 /home/users/mmingyeong/.local/lib/python3.10/site-packages/matplotlib/backend_bases.py:2043(<lambda>)
   337/10    0.002    0.000    0.739    0.074 <frozen importlib._bootstrap>:1022(_find_and_load)
   325/10    0.002    0.000    0.739    0.074 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
   294/11    0.002    0.000    0.735    0.067 <frozen importlib._bootstrap>:664(_load_unlocked)
   274/11    0.001    0.000    0.735    0.067 <frozen importlib._bootstrap_external>:877(exec_module)
   380/11    0.000    0.000    0.727    0.066 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
   291/11    0.005    0.000    0.720    0.065 {built-in method builtins.exec}
   153/14    0.000    0.000    0.719    0.051 {built-in method builtins.__import__}
        4    0.000    0.000    0.682    0.170 /home/users/mmingyeong/.local/lib/python3.10/site-packages/matplotlib/artist.py:93(draw_wrapper)
    584/4    0.006    0.000    0.682    0.170 /home/users/mmingyeong/.local/lib/python3.10/site-packages/matplotlib/artist.py:54(draw_wrapper)
        4    0.000    0.000    0.682    0.170 /home/users/mmingyeong/.local/lib/python3.10/site-packages/matplotlib/figure.py:3134(draw)
     12/4    0.000    0.000    0.679    0.170 /home/users/mmingyeong/.local/lib/python3.10/site-packages/matplotlib/image.py:114(_draw_list_compositing_images)
        8    0.000    0.000    0.679    0.085 /home/users/mmingyeong/.local/lib/python3.10/site-packages/matplotlib/axes/_base.py:3005(draw)
   391/90    0.001    0.000    0.627    0.007 <frozen importlib._bootstrap>:1053(_handle_fromlist)
        2    0.000    0.000    0.423    0.212 /home/users/mmingyeong/.local/lib/python3.10/site-packages/matplotlib/backends/backend_agg.py:450(print_png)
        2    0.000    0.000    0.423    0.212 /home/users/mmingyeong/.local/lib/python3.10/site-packages/matplotlib/backends/backend_agg.py:440(_print_pil)
        4    0.000    0.000    0.393    0.098 /home/users/mmingyeong/.local/lib/python3.10/site-packages/matplotlib/image.py:625(draw)
        4    0.000    0.000    0.391    0.098 /home/users/mmingyeong/.local/lib/python3.10/site-packages/matplotlib/image.py:930(make_image)
        4    0.019    0.005    0.391    0.098 /home/users/mmingyeong/.local/lib/python3.10/site-packages/matplotlib/image.py:335(_make_image)
        1    0.000    0.000    0.348    0.348 /home/users/mmingyeong/.conda/envs/new_env/lib/python3.10/site-packages/cupy/_statistics/histogram.py:410(histogram2d)
        1    0.003    0.003    0.348    0.348 /home/users/mmingyeong/.conda/envs/new_env/lib/python3.10/site-packages/cupy/_statistics/histogram.py:253(histogramdd)
       23    0.000    0.000    0.329    0.014 /home/users/mmingyeong/.conda/envs/new_env/lib/python3.10/site-packages/cupy/cuda/compiler.py:517(_compile_module_with_cache)
       23    0.002    0.000    0.329    0.014 /home/users/mmingyeong/.conda/envs/new_env/lib/python3.10/site-packages/cupy/cuda/compiler.py:548(_compile_with_cache_cuda)
        2    0.000    0.000    0.328    0.164 /home/users/mmingyeong/.local/lib/python3.10/site-packages/matplotlib/backends/backend_pdf.py:2791(print_pdf)
        3    0.000    0.000    0.286    0.095 /home/users/mmingyeong/.local/lib/python3.10/site-packages/PIL/Image.py:2376(save)
        3    0.000    0.000    0.281    0.094 /home/users/mmingyeong/.conda/envs/new_env/lib/python3.10/site-packages/cupy/cuda/compiler.py:473(_preprocess)
        3    0.000    0.000    0.281    0.094 /home/users/mmingyeong/.conda/envs/new_env/lib/python3.10/site-packages/cupy/cuda/compiler.py:732(compile)
        3    0.281    0.094    0.281    0.094 {built-in method cupy_backends.cuda.libs.nvrtc.compileProgram}
      274    0.004    0.000    0.276    0.001 <frozen importlib._bootstrap_external>:950(get_code)
