Tue Apr 15 10:31:42 2025    cprofile_batch_density.prof

         816132 function calls (811346 primitive calls) in 2429.746 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      3/1    0.000    0.000 2429.746 2429.746 {built-in method builtins.exec}
        1    0.002    0.002 2429.746 2429.746 <string>:1(<module>)
        1    2.540    2.540 2429.745 2429.745 01_compute_densitymap_batch.py:128(main)
      598    0.031    0.000 1457.335    2.437 npyio.py:282(load)
      598    0.021    0.000 1408.254    2.355 format.py:738(read_array)
      598 1408.056    2.355 1408.060    2.355 {built-in method numpy.fromfile}
       14    0.849    0.061  967.638   69.117 01_compute_densitymap_batch.py:76(compute_density_map)
      825  703.394    0.853  703.394    0.853 {method 'acquire' of '_thread.lock' objects}
      387    0.006    0.000  701.999    1.814 process.py:569(_chain_from_iterable_of_lists)
      387    0.005    0.000  701.993    1.814 _base.py:614(result_iterator)
      373    0.002    0.000  701.988    1.882 _base.py:316(_result_or_cancel)
      204    0.006    0.000  701.983    3.441 threading.py:288(wait)
      373    0.006    0.000  701.983    1.882 _base.py:430(result)
       14  178.313   12.737  178.313   12.737 {built-in method numpy.array}
      612   71.036    0.116   71.036    0.116 {method 'reduce' of 'numpy.ufunc' objects}
       14    0.000    0.000   71.004    5.072 fromnumeric.py:2177(sum)
       14    0.000    0.000   71.004    5.072 fromnumeric.py:71(_wrapreduction)
     2394   32.420    0.014   32.420    0.014 {method 'read' of '_io.BufferedReader' objects}
      612   17.261    0.028   17.261    0.028 {built-in method io.open}
       14    0.001    0.000   10.243    0.732 npyio.py:475(save)
       14    0.001    0.000    9.128    0.652 format.py:666(write_array)
       14    9.123    0.652    9.123    0.652 {method 'tofile' of 'numpy.ndarray' objects}
       14    0.000    0.000    3.759    0.268 process.py:742(map)
       14    0.000    0.000    3.759    0.268 _base.py:585(map)
       14    0.001    0.000    3.759    0.268 _base.py:610(<listcomp>)
      373    0.002    0.000    3.756    0.010 process.py:717(submit)
      373    0.001    0.000    3.745    0.010 process.py:674(_start_executor_manager_thread)
       14    0.009    0.001    3.723    0.266 process.py:699(_launch_processes)
     1344    0.081    0.000    3.714    0.003 process.py:707(_spawn_process)
     1344    0.177    0.000    3.473    0.003 process.py:110(start)
     1344    0.061    0.000    3.070    0.002 context.py:278(_Popen)
     1344    0.021    0.000    2.984    0.002 popen_fork.py:15(__init__)
     1344    0.076    0.000    2.939    0.002 popen_fork.py:62(_launch)
     1344    2.542    0.002    2.565    0.002 {built-in method posix.fork}
       14    0.001    0.000    1.448    0.103 _base.py:648(__exit__)
       14    0.008    0.001    1.447    0.103 process.py:771(shutdown)
       14    0.001    0.000    1.420    0.101 threading.py:1064(join)
       14    0.000    0.000    1.420    0.101 threading.py:1102(_wait_for_tstate_lock)
     1207    1.412    0.001    1.412    0.001 {built-in method posix.stat}
      598    0.003    0.000    1.389    0.002 genericpath.py:16(exists)
      598    0.456    0.001    0.458    0.001 contextlib.py:533(__exit__)
      599    0.007    0.000    0.399    0.001 std.py:1160(__iter__)
      598    0.013    0.000    0.392    0.001 std.py:1198(update)
      599    0.005    0.000    0.369    0.001 std.py:1325(refresh)
      600    0.005    0.000    0.355    0.001 std.py:1464(display)
      584    0.006    0.000    0.296    0.001 __init__.py:1479(warning)
      584    0.006    0.000    0.288    0.000 __init__.py:1600(_log)
     1344    0.285    0.000    0.287    0.000 util.py:186(__init__)
      600    0.008    0.000    0.253    0.000 std.py:1150(__str__)
      600    0.049    0.000    0.234    0.000 std.py:464(format_meter)
      584    0.003    0.000    0.208    0.000 __init__.py:1626(handle)
     1800    0.005    0.000    0.204    0.000 utils.py:378(disp_len)
      584    0.009    0.000    0.204    0.000 __init__.py:1680(callHandlers)
     1168    0.007    0.000    0.195    0.000 __init__.py:955(handle)
     1800    0.004    0.000    0.195    0.000 utils.py:374(_text_width)
     1800    0.045    0.000    0.191    0.000 {built-in method builtins.sum}
     1168    0.008    0.000    0.177    0.000 __init__.py:1088(emit)
     1344    0.073    0.000    0.153    0.000 process.py:80(__init__)
     1344    0.058    0.000    0.146    0.000 process.py:61(_cleanup)
   205088    0.101    0.000    0.145    0.000 utils.py:375(<genexpr>)
     2706    0.132    0.000    0.132    0.000 {method 'add' of 'set' objects}
      598    0.019    0.000    0.126    0.000 format.py:587(_read_array_header)
      600    0.004    0.000    0.096    0.000 std.py:457(print_status)
      584    0.002    0.000    0.092    0.000 __init__.py:1204(emit)
    63840    0.029    0.000    0.089    0.000 popen_fork.py:24(poll)
      598    0.005    0.000    0.088    0.000 utils.py:1027(safe_eval)
      598    0.008    0.000    0.083    0.000 ast.py:54(literal_eval)
      600    0.002    0.000    0.082    0.000 utils.py:386(disp_trim)
      598    0.009    0.000    0.078    0.000 os.py:200(makedirs)
     1168    0.007    0.000    0.075    0.000 __init__.py:1077(flush)
     4458    0.071    0.000    0.071    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
     1168    0.003    0.000    0.067    0.000 __init__.py:932(format)
     1168    0.010    0.000    0.063    0.000 __init__.py:665(format)
     1360    0.007    0.000    0.061    0.000 _weakrefset.py:86(add)
    63840    0.060    0.000    0.060    0.000 {built-in method posix.waitpid}
      584    0.004    0.000    0.059    0.000 __init__.py:1585(makeRecord)
      584    0.028    0.000    0.055    0.000 __init__.py:283(__init__)
        3    0.000    0.000    0.051    0.017 <frozen importlib._bootstrap>:1022(_find_and_load)
        3    0.000    0.000    0.051    0.017 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
      598    0.002    0.000    0.051    0.000 ast.py:33(parse)
      598    0.048    0.000    0.048    0.000 {built-in method builtins.compile}
        3    0.000    0.000    0.045    0.015 <frozen importlib._bootstrap>:664(_load_unlocked)
   203288    0.045    0.000    0.045    0.000 {built-in method unicodedata.east_asian_width}
     1770    0.041    0.000    0.041    0.000 {method 'write' of '_io.TextIOWrapper' objects}
     1168    0.010    0.000    0.034    0.000 __init__.py:597(formatTime)
      598    0.032    0.000    0.032    0.000 {built-in method posix.mkdir}
        2    0.000    0.000    0.029    0.014 <frozen importlib._bootstrap_external>:877(exec_module)
        2    0.000    0.000    0.028    0.014 <frozen importlib._bootstrap_external>:950(get_code)
        2    0.000    0.000    0.027    0.013 <frozen importlib._bootstrap_external>:1070(get_data)
       16    0.027    0.002    0.027    0.002 {method '__exit__' of '_io._IOBase' objects}
      598    0.004    0.000    0.026    0.000 genericpath.py:39(isdir)
     1344    0.016    0.000    0.024    0.000 util.py:433(_flush_std_streams)
 5382/598    0.021    0.000    0.023    0.000 ast.py:84(_convert)
     1345    0.016    0.000    0.022    0.000 __init__.py:228(_releaseLock)
        1    0.000    0.000    0.020    0.020 std.py:663(__new__)
       14    0.002    0.000    0.020    0.001 process.py:589(__init__)
        1    0.000    0.000    0.019    0.019 std.py:952(__init__)
        1    0.000    0.000    0.019    0.019 std.py:760(get_lock)
        1    0.000    0.000    0.019    0.019 std.py:90(__init__)
        1    0.000    0.000    0.019    0.019 std.py:116(create_mp_lock)
        1    0.000    0.000    0.019    0.019 context.py:70(RLock)
      600    0.004    0.000    0.018    0.000 std.py:451(fp_write)
