         181909 function calls (180522 primitive calls) in 287.348 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000  287.348  287.348 /caefs/user/mmingyeong/structura/Structura/src/example/data_load_ex.py:55(main)
        1    1.533    1.533  271.745  271.745 /caefs/user/mmingyeong/structura/Structura/src/data_loader.py:388(load_cube_data)
     2626    0.047    0.000  269.910    0.103 /home/users/mmingyeong/.conda/envs/new_env/lib/python3.10/threading.py:288(wait)
     5445  269.842    0.050  269.842    0.050 {method 'acquire' of '_thread.lock' objects}
       61    0.052    0.001  254.200    4.167 /home/users/mmingyeong/.conda/envs/new_env/lib/python3.10/site-packages/distributed/client.py:5923(__next__)
       63    0.002    0.000   15.849    0.252 /home/users/mmingyeong/.conda/envs/new_env/lib/python3.10/site-packages/distributed/utils.py:380(sync)
       66    0.000    0.000   15.838    0.240 /home/users/mmingyeong/.conda/envs/new_env/lib/python3.10/threading.py:589(wait)
       63    0.000    0.000   15.830    0.251 /home/users/mmingyeong/.conda/envs/new_env/lib/python3.10/site-packages/distributed/utils.py:423(wait)
        1    0.000    0.000   15.598   15.598 /caefs/user/mmingyeong/structura/Structura/src/example/data_load_ex.py:27(print_statistics)
       13    9.128    0.702    9.128    0.702 {method 'reduce' of 'numpy.ufunc' objects}
        1    0.000    0.000    8.216    8.216 /home/users/mmingyeong/.conda/envs/new_env/lib/python3.10/site-packages/distributed/client.py:1055(__init__)
        1    0.000    0.000    8.216    8.216 /home/users/mmingyeong/.conda/envs/new_env/lib/python3.10/site-packages/distributed/client.py:1420(start)
       10    0.000    0.000    7.284    0.728 /home/users/mmingyeong/.conda/envs/new_env/lib/python3.10/site-packages/numpy/core/fromnumeric.py:71(_wrapreduction)
       60    0.001    0.000    6.928    0.115 /home/users/mmingyeong/.conda/envs/new_env/lib/python3.10/site-packages/distributed/client.py:379(result)
       61    0.002    0.000    6.927    0.114 /home/users/mmingyeong/.conda/envs/new_env/lib/python3.10/site-packages/distributed/utils.py:351(sync)
        1    0.000    0.000    6.468    6.468 /home/users/mmingyeong/.conda/envs/new_env/lib/python3.10/site-packages/numpy/lib/function_base.py:3845(median)
        1    0.009    0.009    6.468    6.468 /home/users/mmingyeong/.conda/envs/new_env/lib/python3.10/site-packages/numpy/lib/function_base.py:3763(_ureduce)
        1    0.000    0.000    6.460    6.460 /home/users/mmingyeong/.conda/envs/new_env/lib/python3.10/site-packages/numpy/lib/function_base.py:3931(_median)
        1    0.000    0.000    6.459    6.459 /home/users/mmingyeong/.conda/envs/new_env/lib/python3.10/site-packages/numpy/core/fromnumeric.py:662(partition)
        1    5.023    5.023    5.023    5.023 {method 'partition' of 'numpy.ndarray' objects}
        5    0.000    0.000    3.648    0.730 /home/users/mmingyeong/.conda/envs/new_env/lib/python3.10/site-packages/numpy/core/fromnumeric.py:2836(min)
        5    0.000    0.000    3.635    0.727 /home/users/mmingyeong/.conda/envs/new_env/lib/python3.10/site-packages/numpy/core/fromnumeric.py:2692(max)
